1,莫莉,水,人類,2,"[""主角""]",FALSE,,"[{""name"":""符石解放 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆木符石造成敵全體水屬性傷害     "",""tag"":[""引爆"",""木符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[1,5,9,13,17]}]",5,10,0,v1.00,,
2,高級水術士莫莉,水,人類,3,"[""主角""]",FALSE,,"[{""name"":""符石解放 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆木符石造成敵全體水屬性傷害     "",""tag"":[""引爆"",""木符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[2,6,10,14,18]}]",15,10,0,v1.00,,
3,水魔法師莫莉,水,人類,4,"[""主角""]",FALSE,,"[{""name"":""符石解放 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆木符石造成敵全體水屬性傷害     "",""tag"":[""引爆"",""木符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[3,7,11,15,19]}]",35,10,0,v1.00,,
4,水元素賢者莫莉,水,人類,5,"[""主角""]",FALSE,,"[{""name"":""符石激發 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆木符石造成敵全體水屬性傷害，並產生強化符石     "",""tag"":[""引爆"",""木符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[4,8,12,16,20]}]",99,10,4,v1.00,,
5,肖恩,火,人類,2,"[""主角""]",FALSE,,"[{""name"":""符石解放 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆水符石造成敵全體火屬性傷害     "",""tag"":[""引爆"",""水符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[1,5,9,13,17]}]",5,10,0,v1.00,,
6,高級劍士肖恩,火,人類,3,"[""主角""]",FALSE,,"[{""name"":""符石解放 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆水符石造成敵全體火屬性傷害     "",""tag"":[""引爆"",""水符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[2,6,10,14,18]}]",15,10,0,v1.00,,
7,火焰劍士肖恩,火,人類,4,"[""主角""]",FALSE,,"[{""name"":""符石解放 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆水符石造成敵全體火屬性傷害     "",""tag"":[""引爆"",""水符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[3,7,11,15,19]}]",35,10,0,v1.00,,
8,紅蓮劍士肖恩,火,人類,5,"[""主角""]",FALSE,,"[{""name"":""符石激發 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆水符石造成敵全體火屬性傷害，並產生強化符石     "",""tag"":[""引爆"",""水符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[4,8,12,16,20]}]",99,10,4,v1.00,,
9,鄧肯,木,人類,2,"[""主角""]",FALSE,,"[{""name"":""符石解放 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆火符石造成敵全體木屬性傷害     "",""tag"":[""引爆"",""火符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[1,5,9,13,17]}]",5,10,0,v1.00,,
10,牧者鄧肯,木,人類,3,"[""主角""]",FALSE,,"[{""name"":""符石解放 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆火符石造成敵全體木屬性傷害     "",""tag"":[""引爆"",""火符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[2,6,10,14,18]}]",15,10,0,v1.00,,
11,德魯依鄧肯,木,人類,4,"[""主角""]",FALSE,,"[{""name"":""符石解放 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆火符石造成敵全體木屬性傷害     "",""tag"":[""引爆"",""火符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[3,7,11,15,19]}]",35,10,0,v1.00,,
12,森林王者鄧肯,木,人類,5,"[""主角""]",FALSE,,"[{""name"":""符石激發 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆火符石造成敵全體木屬性傷害，並產生強化符石     "",""tag"":[""引爆"",""火符石引爆"",""直傷""]}]","[{""description"":""     ◆「主角」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「主角」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[4,8,12,16,20]}]",99,10,4,v1.00,,
