86,小魔女愛莉絲,水,人類,2,"[""魔法女孩""]",FALSE,,"[{""name"":""流水連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次水屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[86,88,90,92,94]}]",15,5,0,v1.00,,
87,占星士愛莉絲,水,人類,3,"[""魔法女孩""]",FALSE,,"[{""name"":""流水狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次水屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[87,89,91,93,95]}]",50,10,0,v1.00,,
88,小魔女瑪莉曼,火,人類,2,"[""魔法女孩""]",FALSE,,"[{""name"":""烈焰連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次火屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[86,88,90,92,94]}]",15,5,0,v1.00,,
89,火巫女瑪莉曼,火,人類,3,"[""魔法女孩""]",FALSE,,"[{""name"":""烈焰狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次火屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[87,89,91,93,95]}]",50,10,0,v1.00,,
90,小魔女凱莉絲,木,人類,2,"[""魔法女孩""]",FALSE,,"[{""name"":""片葉連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次木屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[86,88,90,92,94]}]",15,5,0,v1.00,,
91,修道者凱莉絲,木,人類,3,"[""魔法女孩""]",FALSE,,"[{""name"":""片葉狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次木屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[87,89,91,93,95]}]",50,10,0,v1.00,,
92,小魔女安迪莉亞,光,人類,2,"[""魔法女孩""]",FALSE,,"[{""name"":""光刃連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次光屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[86,88,90,92,94]}]",15,5,0,v1.00,,
93,傳教士安迪莉亞,光,人類,3,"[""魔法女孩""]",FALSE,,"[{""name"":""光刃狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次光屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[87,89,91,93,95]}]",50,10,0,v1.00,,
94,小魔女莉莉絲,暗,人類,2,"[""魔法女孩""]",FALSE,,"[{""name"":""暗戈連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次暗屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[86,88,90,92,94]}]",15,5,0,v1.00,,
95,鍊金士莉莉絲,暗,人類,3,"[""魔法女孩""]",FALSE,,"[{""name"":""暗戈狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次暗屬性攻擊     "",""tag"":[""直傷""]}]","[{""description"":""     ◆「魔法女孩」系列角色的回復力基值提升     ⇒ 最大 1.5 倍     "",""activate"":""以 ≥3 個不同屬性、相同星數的「魔法女孩」系列角色作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[87,89,91,93,95]}]",50,10,0,v1.00,,
